destino;Precio;Numero plazas;Numero Pasajeros;codigo;fecha y hora;Duracion;PlazasPrimeraClase;RecargoPrimeraClase
Las Palmas;52.6;305;305;IBE-180;01/06/2020-16:04;40;30;15.78
Madrid;107;150;150;RYR-80;01/06/2020-15:28;78;15;21.4
Madrid;107;150;150;RYR-290;01/06/2020-12:22;78;15;32.1
Valencia;50.6;180;150;VLG-400;01/06/2020-14:03;45;18;15.18
Las Palmas;52.6;300;250;IBE-114;01/06/2020-13:41;40;30;15.78
Málaga;45.45;222;110;IBE-170;01/06/2020-20:18;25;22;18.18
Málaga;45.45;222;100;IBE-200;01/06/2020-15:58;25;22;22.73
Málaga;45;200;200;IBE-530;02/06/2020-08:23;25;20;9
Málaga;45;222;222;IBE-480;02/06/2020-09:57;25;22;22.5
Las Palmas;52.6;300;300;IBE-600;02/06/2020-12:05;45;30;26.3
Las Palmas;52.6;300;300;IBE-680;02/06/2020-08:14;45;30;10.52
Valencia;55.6;180;180;VLG-300;02/06/2020-13:44;45;18;27.8
Barcelona;100.79;300;250;IBE-840;02/06/2020-21:20;65;30;50.4
Barcelona;90;300;250;IBE-104;02/06/2020-22:08;65;30;36
Barcelona;100.79;300;250;IBE-860;02/06/2020-20:21;65;30;10.08
Las Palmas;52.6;305;150;IBE-440;02/06/2020-22:43;45;30;21.04
Las Palmas;52.6;305;150;IBE-108;02/06/2020-17:44;45;30;10.52
Barcelona;100.79;305;305;IBE-600;03/06/2020-10:12;65;30;30.24
Barcelona;100.79;305;305;IBE-260;03/06/2020-08:12;65;30;20.16
Madrid;123.45;200;200;RYR-520;03/06/2020-21:55;78;20;24.69
Barcelona;100.79;305;300;IBE-040;03/06/2020-15:11;65;30;40.32
Oviedo;90;260;222;VLG-780;03/06/2020-13:45;80;26;27
Valencia;55.6;180;130;VLG-360;03/06/2020-20:06;45;18;16.68
Barcelona;100.79;305;305;IBE-380;04/06/2020-08:18;67;30;20.16
Las Palmas;55;300;300;IBE-130;04/06/2020-09:46;40;30;27.5
Las Palmas;55;300;300;IBE-170;04/06/2020-14:32;40;30;27.5
Madrid;107;150;150;IBE-110;04/06/2020-10:51;78;15;53.5
Málaga;45.45;222;102;IBE-880;04/06/2020-08:38;25;22;18.18
Madrid;123.45;200;78;RYR-500;04/06/2020-18:48;80;20;61.73
Las Palmas;55;305;150;IBE-490;04/06/2020-11:20;40;30;5.5
Las Palmas;55;305;150;IBE-200;04/06/2020-08:55;40;30;11
Oviedo;91.5;260;100;VLG-490;04/06/2020-19:27;78;26;9.15
Oviedo;91.5;260;260;VLG-920;05/06/2020-15:43;75;26;36.6
Valencia;55.6;180;130;VLG-350;05/06/2020-21:20;45;18;22.24
Valencia;59.6;180;100;VLG-200;05/06/2020-09:40;45;18;11.92
Málaga;45.45;222;112;IBE-590;05/06/2020-10:33;25;22;13.64
Oviedo;91.5;260;200;VLG-700;06/06/2020-09:28;75;26;27.45
